time_s,event,actor,x_m,y_m,new_fatalities,new_injuries,living_after,cause,direct_witnesses,likely_listeners
4,T1_E01,Bone,-0.7454818255216089,-11.116566489395732,1,0,169,Inherited approved T1 event; source unchanged.,,
6,T1_E02,Bone,-1.1954818255216089,-11.666566489395732,1,0,168,Inherited approved T1 event; source unchanged.,,
45,B11,Bone,-28.4,37.62,1,0,167,Inherited approved Bone completion; M04 is the local witness.,R33:01;R33:02,
56,T1_E03,Blood,-2.2088023688951393,44.52432308637402,4,4,163,Inherited approved T1 event; source unchanged.,,
96,E_BONE_TORMENT,Bone,-33.0119,8.3316,0,0,163,"R14 parent keeps shielding child, while nearby household calls reinforce the unfinished encounter.",,
100,BELL_FIRST,bell,23.5,86.4,0,0,163,"Caretaker responds to established catastrophe, not an attacker-specific message.",,R01:01;R01:02;R01:03;R02:01;R02:02;R03:01;R04:01;R04:02;R05:01;R05:02;R06:01;R06:02;R08:01;R08:02;R09:01;R09:02;R11:01;R11:02;R12:01;R13:01;R13:02;R13:03;R13:04;R14:01;R14:02;R15:01;R15:02;R15:03;R16:01;R16:02;R16:03;R17:01;R17:02;R18:01;R18:02;R19:01;R19:02;R20:01;R20:02;R21:01;R23:01;R24:01;R25:01;R27:01;R28:01;R29:01;R30:01;R30:02;R30:03;R31:01;R31:02;R32:01;R32:02;R33:01;R33:02;R34:01;R34:02;R35:01;R35:02;R35:03;R36:01;R36:02;R37:01;R37:02;R37:03;R38:01;R38:02;R38:03;R38:04;R39:01;R39:02;R39:03;R40:01;R40:02;R40:03;R40:04;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R43:01;R43:02;R44:01;R44:02;R45:01;R45:02;R46:01;R46:02;R46:03;R46:04;R46:05;R47:01;R48:01;R48:02;R49:01;R49:02;R50:01;R50:02;R51:01;R51:02;R52:01;R52:02;R53:01;R53:02;R54:01;R54:02;R55:01;R55:02;R56:01;R57:01;R57:02;R58:01;R58:02;R58:03;R59:01;R59:02;R60:01;R60:02;R61:01;R61:02;R62:01;R62:02;R63:01;R63:02;R64:01;R64:02;R65:01;R65:02;R65:03;R66:01;R67:01;R68:01;R68:02;R69:01;R69:02;R70:01;R70:02;R71:01;R72:01;R72:02;R72:03;R73:01;R74:01;R75:01;R76:01;R77:01;R77:02;R77:03;R78:01;R79:01;R79:02
108,E_BLOOD_2,Blood,4,50.5,4,2,159,"Open injury/help concentration at the civic junction, locally perceptible by movement and cries.",,
117,A01_BONE_SMITH,Bone,-42.7,9.3,1,0,158,Smith stepped into the open attempting to protect the nearby parent/child; direct precise exposure.,R14:01;R14:02;R20:02,
123.04,A02_BARRIER_WEST,barrier,-76.2922,59.101,1,0,157,B2 was an untested suspicion. The walker continues a familiar forest exit and physically meets the sealed rim.,R58:02;R58:03;R72:01;R72:02;R72:03,
127,A03_BONE_BUCKET,Bone,-25.5341,35.6057,0,0,157,The pair clatters away from the reappearing attacker. Bone deliberately threatens their ordinary carried object rather than efficiently killing them.,R24:01;R25:01;R28:01;R29:01;R32:01;R32:02;R33:01;R33:02,
