t,person,field,old,new,source,mode
91.0,P06-13,shelter,,direct: Bone deliberate near-hit,E0011,direct
91.0,P06-14,shelter,,direct: Bone deliberate near-hit,E0011,direct
91.0,P06-05,Bone,report: parent warned from yard,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,heard
91.0,P06-06,Bone,report: parent warned from yard,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,heard
91.0,P06-07,Bone,report: parent warned from yard,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,heard
91.0,P06-13,Bone,direct: deliberate near-hit and stalking,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,direct
91.0,P06-14,Bone,direct: deliberate near-hit and stalking,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,direct
91.0,P07-01,Bone,unknown,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,direct
91.0,P07-02,Bone,unknown,direct: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,direct
91.0,P07-04,Bone,unknown,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,E0011,heard
91.0,P08-01,Witch,ordinary neighbour; cause unknown,direct: calm neighbour ignores plea; responsibility unknown,local path encounter,direct
91.0,P08-02,Witch,ordinary neighbour; cause unknown,direct: calm neighbour ignores plea; responsibility unknown,local path encounter,direct
95.0,P01-04,barrier,0,1,visible perimeter on chosen route,direct
95.0,P01-05,barrier,0,1,visible perimeter on chosen route,direct
96.0,P08-07,Blood,direct: struck by first public wave,direct: pressure strike at physical concentration,K012,direct
96.0,P08-08,Blood,direct: struck by first public wave,direct: pressure strike at physical concentration,K012,direct
96.0,P08-09,Blood,direct: struck by first public wave,direct: pressure strike at physical concentration,K012,direct
96.0,P08-10,Blood,direct: struck by first public wave,direct: pressure strike at physical concentration,K012,direct
96.0,P08-11,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-12,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-13,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-14,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-15,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-16,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
96.0,P08-22,Blood,direct: first public strike,direct: pressure strike at physical concentration,K012,direct
