group_id,origin_cohort,original_count,surviving_count,injured_survivors,xy_m,blood_channel,blood_information,distance_to_blood_event_m,blood_roof_obstructions,bone_channel,bone_information,distance_to_bone_event_m,bone_roof_obstructions,barrier_before,barrier_after,barrier_contact_information,bell_information,movement_source,next_decision
R01,P01,3,3,0,"[5.8, -61.8]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,112.31,"[""NeedleHouse"", ""Farmstead_West"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,80.15,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R02,P01,2,2,0,"[20.2, -38.3]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,90.27,"[""CollapsedCellarCottage"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,78.22,"[""WitchHome"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R03,P01,1,1,0,"[9.2, -36.9]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,87.55,"[""NeedleHouse"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,61.48,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R04,P02,2,2,0,"[-45.8, -62.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,123.03,"[""Cottage_09"", ""Cottage_09_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,70.43,[],B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R05,P02,2,2,0,"[-25.4, -51.3]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,105.96,"[""WitchHome"", ""Farmstead_South"", ""Tavern"", ""Cottage_09_YardShed"", ""SouthBarn""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,60.12,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R06,P02,2,2,0,"[-13.194754414253895, -68.25749879565703]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,120.0,"[""NeedleHouse"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,69.91,"[""Farmstead_South"", ""Cottage_04"", ""SouthBarn""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R07,P03,3,3,0,"[10.71373756750713, -44.81520992321123]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,95.55,"[""NeedleHouse"", ""Farmstead_West"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,68.82,"[""Farmstead_West"", ""Cottage_04""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R08,P03,2,2,0,"[8.0, -61.5]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,112.07,"[""NeedleHouse"", ""Farmstead_West"", ""Tavern"", ""NorthBarn""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,85.37,"[""Farmstead_West"", ""Cottage_04"", ""NorthBarn""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R09,P03,2,2,0,"[17.4, -45.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,96.44,"[""NeedleHouse"", ""CollapsedCellarCottage"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,73.39,"[""Farmstead_West"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R10,P04,3,3,0,"[-20.004663250524004, -42.889977263076325]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,96.43,"[""WitchHome"", ""NeedleHouse"", ""Farmstead_South"", ""Tavern"", ""Cottage_09_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,52.85,"[""Farmstead_South"", ""Cottage_04""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R11,P04,2,2,0,"[-24.7, -59.8]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,113.97,"[""WitchHome"", ""NeedleHouse"", ""Farmstead_South"", ""Tavern"", ""Cottage_09_YardShed"", ""SouthBarn""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,68.64,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R12,P04,1,1,0,"[-27.0, -51.0]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,106.13,"[""WitchHome"", ""Farmstead_South"", ""Tavern"", ""Cottage_09_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,56.95,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R13,P05,4,4,0,"[-4.708212596077446, -41.682215231344536]",NO_SPECIFIC_UPDATE,No new event-specific information established; retains Step 3 global emergency awareness only.,92.59,"[""NeedleHouse"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,44.47,"[""WitchHome"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R14,P06,2,2,0,"[-34.3, 9.2]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",56.33,[],DIRECT_WITNESS,Sees the exact threatening strike at their coop; both remain alive. Does not know why he spared them.,1.55,[],B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R15,P06,3,3,0,"[-27.418755248485926, 5.268819614788562]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",55.07,"[""Cottage_04"", ""Cottage_09""]",HEARD_LOCAL_IMPACT,Nearby short wooden crack/thud through household wall; does not establish Bone exact position or family fate.,6.38,"[""Cottage_04""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R16,P06,3,3,0,"[15.453649110207552, 13.178053791298524]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",39.04,"[""CollapsedCellarCottage"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,48.71,"[""CollapsedCellarCottage"", ""Cottage_04""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R17,P06,2,2,0,"[-9.624845430574828, 26.772424530943187]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",27.36,"[""Cottage_09""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,29.78,"[""Cottage_09""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R18,P06,2,2,0,"[-2.0, 13.5]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",37.48,"[""NeedleHouse"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,31.44,"[""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R19,P06,2,2,0,"[23.0, 6.0]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",48.39,"[""CollapsedCellarCottage"", ""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,56.03,"[""CollapsedCellarCottage"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R20,P07,2,2,0,"[-39.5, 11.7]",POSSIBLE_DISTANT_SOUND,"Possible distant impact, screened or muffled; not a detailed attack report.",58.29,"[""Blacksmith""]",DIRECT_WITNESS,Very close workfront sight/sound of the precision strike and creature near the family. No knowledge of his wider route.,7.31,[],B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R21,P07,1,1,0,"[-25.0, 22.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",40.66,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,19.93,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R22,P08,2,0,0,"[2.0, 50.0]",DIRECT_EXPOSURE,Direct physical exposure to the second Blood surge.,2.06,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,54.43,[],B0,,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R23,P08,1,1,1,"[7.2, 54.1]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,4.82,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,56.44,"[""Cottage_09""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R24,P08,1,1,1,"[-7.8, 51.5]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,11.84,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,48.52,[],B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R25,P08,1,1,0,"[-11.0, 52.0]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,15.07,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,48.9,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R26,P08,2,0,0,"[3.5, 51.0]",DIRECT_EXPOSURE,Direct physical exposure to the second Blood surge.,0.71,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,58.99,[],B1,,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R27,P08,1,1,0,"[8.28, 54.1]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,5.59,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,57.7,"[""Cottage_09""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R28,P08,1,1,0,"[-8.4, 52.0]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,12.49,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,49.61,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R29,P08,1,1,0,"[-11.0, 53.0]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,15.21,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,49.8,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R30,P08,3,3,0,"[25.713845732033032, 52.97387531324878]",POSSIBLE_VIEW_AND_SOUND,May see the renewed impact at range and hear it; exact persons/injury outcomes are not identifiable by fiat.,21.85,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,58.42,"[""Tavern"", ""Cottage_09""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R31,P08,2,2,0,"[-25.23176413550419, 40.15533720134167]",POSSIBLE_VIEW_AND_SOUND,May see the renewed impact at range and hear it; exact persons/injury outcomes are not identifiable by fiat.,31.01,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,40.64,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R32,P08,2,2,0,"[-10.5, 50.0]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,14.51,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,47.36,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R33,P08,2,2,0,"[-17.0, 35.6]",POSSIBLE_VIEW_AND_SOUND,May see the renewed impact at range and hear it; exact persons/injury outcomes are not identifiable by fiat.,25.75,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,30.7,"[""Blacksmith""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R34,P09,2,2,2,"[8.0, 51.5]",DIRECT_EXPOSURE,Direct physical exposure to the second Blood surge.,4.12,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,51.32,"[""Tavern"", ""Cottage_09""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R35,P08,3,3,0,"[27.3055, 34.7832]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",28.11,"[""Cottage_01"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,64.33,"[""Tavern"", ""Cottage_01"", ""Cottage_04"", ""Cottage_09""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus explicit four-second continuation,
R36,P09,2,2,0,"[11.0, 44.0]",DIRECT_WITNESS,Working direct witness of renewed force at the centre; no knowledge of distant Bone/barrier events.,9.55,[],NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,49.61,"[""Tavern"", ""Cottage_09""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R37,P09,3,3,0,"[4.0, 37.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",13.5,"[""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,46.82,"[""Tavern"", ""Cottage_09"", ""Cottage_09_YardShed""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R38,P09,4,4,0,"[7.0, 33.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",17.76,"[""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,47.01,"[""Tavern"", ""Cottage_04"", ""Cottage_09""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R39,P09,3,3,0,"[14.1, 30.0]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",22.85,"[""Tavern""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,51.86,"[""NeedleHouse"", ""Cottage_04""]",B1,B1,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R40,P10,4,4,0,"[37.62248458949683, 33.04321460135457]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",37.88,"[""CrookedCottage"", ""Cottage_01"", ""Cottage_12"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,74.83,"[""NeedleHouse"", ""CrookedCottage"", ""Cottage_04"", ""Cottage_06""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
R41,P10,4,4,0,"[20.27965221380489, 36.893105540212346]",HEARD_LOCAL_IMPACT,"Nearby heavy crash and cries; without a direct view, cannot count casualties or identify the attack path.",21.22,"[""Cottage_01"", ""Cottage_01_YardShed""]",NO_SPECIFIC_UPDATE,No new Bone-specific knowledge established; keeps earlier knowledge such as M04 witnessed interception.,60.46,"[""Tavern"", ""Cottage_01"", ""Cottage_04""]",B0,B0,None: no contact or response has occurred.,No ringing event executed; functional bell is approved but control access remains unresolved.,T2 original knots plus retained last resolved position / activity,
