id,t,phase,kind,actor,xy,text,target,shelter,stream,people,affected_people,trigger
E0001,91.0,ACTION,resource,Blood,"[-3.6, 49]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0002,91.0,ACTION,resource,Blood,"[-3.6, 49]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0003,91.0,ACTION,resource,Blood,"[2, 48]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0004,91.0,ACTION,resource,Blood,"[2, 48]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0005,91.0,ACTION,resource,Blood,"[3, 50]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0006,91.0,ACTION,resource,Blood,"[3, 50]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0007,91.0,ACTION,resource,Blood,"[3, 50]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0008,91.0,ACTION,resource,Blood,"[3, 50]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0009,91.0,ACTION,stream_start,Blood,"[-2.2088023688951393, 44.52432308637402]",New surface search branch toward an untested nearby access.,,Cottage_13,S001,,,
E0010,91.0,ACTION,blood_commit,Blood,"[-2.2088023688951393, 44.52432308637402]",Commits to visible dense human activity; five-second build-up.,"[7, 46]",,,,,
E0011,91.0,ACTION,bone_near_hit,Bone,"[-34.3, 9.2]",Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for now.,P06-13,,,,,M05 parent moving between child and Bone
E0012,91.0,REACTION,witch_plea,Civilians,"[-18, 35]",Calls to the familiar Witch while she continues uphill without answering.,,,,"[""P08-01""]",,
E0013,91.0,REACTION,witch_plea,Civilians,"[-18, 35]",Calls to the familiar Witch while she continues uphill without answering.,,,,"[""P08-02""]",,
E0014,95.0,ACTION,stream_start,Blood,"[-2.2088023688951393, 44.52432308637402]",New surface search branch toward an untested nearby access.,,Cottage_09_YardShed,S002,,,
E0015,96.0,ACTION,blood_attack,Blood,"[-2.2088023688951393, 44.52432308637402]",Deliberate pressure strike toward the perceived concentration.,"[7, 46]",,,,"[""P08-21"", ""P08-22"", ""P08-23"", ""P08-24"", ""P08-25"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11""]",
E0016,97.0,ACTION,resource,Blood,"[3.9, 42.0]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0017,97.0,ACTION,resource,Blood,"[3.9, 42.0]",Physically accessible spilled blood joins controllable mass.,,,,,,
E0018,97.0,ACTION,resource,Blood,"[3.9, 42.0]",Physically accessible spilled blood joins controllable mass.,,,,,,
