cluster,T0_population,seconds,unaware,uncertain,aware,local_panic,trapped_aware,village_wide_alarm,early_fatalities
P01,6,0,6,0,0,0,0,0,0
P01,6,30,3,2,1,0,0,0,0
P01,6,60,0,0,6,0,0,0,0
P01,6,90,0,0,0,0,0,6,0
P02,6,0,6,0,0,0,0,0,0
P02,6,30,0,6,0,0,0,0,0
P02,6,60,0,4,2,0,0,0,0
P02,6,90,0,0,0,0,0,6,0
P03,7,0,7,0,0,0,0,0,0
P03,7,30,3,0,4,0,0,0,0
P03,7,60,0,0,7,0,0,0,0
P03,7,90,0,0,0,0,0,7,0
P04,6,0,6,0,0,0,0,0,0
P04,6,30,3,3,0,0,0,0,0
P04,6,60,0,3,3,0,0,0,0
P04,6,90,0,0,0,0,0,6,0
P05,6,0,6,0,0,0,0,0,0
P05,6,30,0,0,0,4,0,0,2
P05,6,60,0,0,0,4,0,0,2
P05,6,90,0,0,0,0,0,4,2
P06,14,0,14,0,0,0,0,0,0
P06,14,30,5,0,9,0,0,0,0
P06,14,60,0,5,9,0,0,0,0
P06,14,90,0,0,0,0,0,14,0
P07,4,0,4,0,0,0,0,0,0
P07,4,30,0,4,0,0,0,0,0
P07,4,60,0,0,4,0,0,0,0
P07,4,90,0,0,0,0,0,4,0
P08,26,0,26,0,0,0,0,0,0
P08,26,30,24,2,0,0,0,0,0
P08,26,60,0,0,5,17,0,0,4
P08,26,90,0,0,0,0,0,22,4
P09,14,0,14,0,0,0,0,0,0
P09,14,30,14,0,0,0,0,0,0
P09,14,60,0,7,3,4,0,0,0
P09,14,90,0,0,0,0,0,14,0
P10,24,0,24,0,0,0,0,0,0
P10,24,30,24,0,0,0,0,0,0
P10,24,60,0,14,10,0,0,0,0
P10,24,90,0,0,0,0,0,24,0
P11,22,0,22,0,0,0,0,0,0
P11,22,30,14,8,0,0,0,0,0
P11,22,60,0,14,8,0,0,0,0
P11,22,90,0,0,0,0,0,22,0
P12,14,0,14,0,0,0,0,0,0
P12,14,30,14,0,0,0,0,0,0
P12,14,60,10,4,0,0,0,0,0
P12,14,90,0,0,0,0,0,14,0
P13,1,0,1,0,0,0,0,0,0
P13,1,30,1,0,0,0,0,0,0
P13,1,60,0,0,1,0,0,0,0
P13,1,90,0,0,0,0,0,1,0
P14,7,0,7,0,0,0,0,0,0
P14,7,30,7,0,0,0,0,0,0
P14,7,60,4,2,1,0,0,0,0
P14,7,90,0,0,0,0,0,7,0
P15,3,0,3,0,0,0,0,0,0
P15,3,30,0,3,0,0,0,0,0
P15,3,60,0,0,0,0,3,0,0
P15,3,90,0,0,0,0,0,3,0
P16,8,0,8,0,0,0,0,0,0
P16,8,30,8,0,0,0,0,0,0
P16,8,60,5,2,0,0,1,0,0
P16,8,90,0,0,0,0,0,8,0
P17,2,0,2,0,0,0,0,0,0
P17,2,30,0,2,0,0,0,0,0
P17,2,60,0,0,0,0,2,0,0
P17,2,90,0,0,0,0,0,2,0
