person,origin,micro,group,xy,shelter,injured,intention,why_survived,knowledge,executed_movement_orders,bone_chain,canon_status
P01-03,P01,,east-tools,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""report: orchard warning"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P04-04"", ""P04-06"", ""P01-01"", ""P02-01"", ""P02-05"", ""P04-05"", ""P02-04"", ""P02-02"", ""P01-02""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E092"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-01"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-05"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-06"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[90, 258, 312.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P01-04,P01,,strip-workers,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P01-04"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[90, 122, 258, 348.0]","[""Bone farm cry""]",Failed V4 experimental outcome; not approved survivor lore.
P01-05,P01,,strip-workers,"[-29.0047, -34.89]",,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P01-04"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[90, 122, 258, 348.0]","[""Bone farm cry""]",Failed V4 experimental outcome; not approved survivor lore.
P03-03,P03,,east-home,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""report: farm warning"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P04-04"", ""P03-01"", ""P03-02"", ""P04-06"", ""P02-01"", ""P02-05"", ""P04-05"", ""P02-04"", ""P02-02""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-01"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-05"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-06"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[238, 242, 258, 312.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P03-07,P03,,east-yard,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P04-04"", ""P03-05"", ""P04-06"", ""P03-06"", ""P03-04"", ""P02-01"", ""P02-05"", ""P04-05"", ""P02-04"", ""P02-02""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E092"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_West"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-01"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-05"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-06"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[90, 126, 134, 238, 242, 258, 312.0]","[""Bone barn puncture"", ""Bone farm helper attack""]",Failed V4 experimental outcome; not approved survivor lore.
P04-03,P04,,west-home,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""unknown"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P04-02""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-02"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-03"", ""source"": ""E358"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}]}",[266],[],Failed V4 experimental outcome; not approved survivor lore.
P05-06,P05,,approach-witnesses,"[-29.0047, -34.89]",,True,Leave newly compromised shelter for a nearby known refuge after local disagreement,"Outside at the terminal clock, holding at the last chosen local cover/waypoint. Bone had changed this person's movement, but no later completed intended hit reached them. The Mayor's fixed death ends this primary ledger; no cleanup event is inferred.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""direct: overwhelming local strike"", ""bone"": ""direct: precise local attack"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [""P04-04"", ""P04-06"", ""P05-03"", ""P02-01"", ""P02-05"", ""P05-02"", ""P05-05"", ""P05-01"", ""P04-05"", ""P02-04"", ""P02-02"", ""P05-04""], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E069"", ""mode"": ""heard""}, {""topic"": ""cover"", ""value"": ""Shelter damaged; new opening/noise/exposure"", ""source"": ""E325"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-01"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P02-05"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-04"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""injury"", ""value"": ""P04-06"", ""source"": ""E344"", ""mode"": ""direct""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E344"", ""mode"": ""heard""}, {""topic"": ""sound"", ""value"": ""Heavy impact and human cries nearby; exact victims unknown unless seen"", ""source"": ""E358"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Farmstead_South"", ""mode"": ""direct""}]}","[90, 110, 122, 258, 312.0]","[""Bone farm warning interception""]",Failed V4 experimental outcome; not approved survivor lore.
P06-01,P06,,c04-family,"[-41.2321, 38.284]",WeaverCottage,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At WeaverCottage, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: Parent attacked at own doorway; child needs cover"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}]}","[312.0, 342.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-02,P06,,c04-family,"[-41.2321, 38.284]",WeaverCottage,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At WeaverCottage, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: Parent attacked at own doorway; child needs cover"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}]}","[312.0, 342.0]",[],Failed V4 experimental outcome; not approved survivor lore.
P06-03,P06,,c04-family,"[-41.2321, 38.284]",WeaverCottage,False,Leave newly compromised shelter for a nearby known refuge after local disagreement,"At WeaverCottage, structural state 0. A probe reached this shelter; detection did not itself authorize a remote attack. No lethal executed attack intersected this person's final shelter/movement after their last relocation. The remaining roof/cover and separation from Blood's body retained protection.","{""catastrophe"": ""direct: opaque daylight loss"", ""blood"": ""unknown"", ""bone"": ""direct: Parent attacked at own doorway; child needs cover"", ""barrier"": 1, ""barrier_reports"": [], ""specific_deaths"": [], ""witch"": [], ""warnings"": [{""topic"": ""bell"", ""value"": ""Public emergency only"", ""source"": ""church bell"", ""mode"": ""heard""}, {""topic"": ""search"", ""value"": ""Visible thin blood probing the entrance; hiding may be compromised"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Cottage_04"", ""mode"": ""direct""}, {""topic"": ""search"", ""value"": ""A physically connected probe reacts visibly at this shelter; new arrival or increased pressure"", ""source"": ""search-Blacksmith"", ""mode"": ""direct""}]}","[312.0, 342.0]",[],Failed V4 experimental outcome; not approved survivor lore.
