person,t,killer,xy,pre90,intention,event,bone_contributing,bone_direct_or_chain,bone_movement_chain,injury,exposure,witness_groups,witness_people,local_knowledge,blood_units,contributing_causes,recorded_prior_intention,review_annotation
P05-01,4,Bone,"[-0.7454818255, -11.1165664894]",True,Taking produce handcart home,approved pre90 history,True,True,[],,,,,,,,,
P05-02,6,Bone,"[-1.1954818255, -11.6665664894]",True,Taking produce handcart home,approved pre90 history,True,True,[],,,,,,,,,
P07-03,45,Bone,"[-28.4017671378, 37.6234790712]",True,Walking home after workshop,approved pre90 history,True,True,[],,,,,,,,,
P08-03,56,Blood,"[-4.9, 49.6]",True,Collecting water,approved pre90 history,False,False,[],,,,,,,,,
P08-04,56,Blood,"[-4.9, 49.6]",True,Collecting water,approved pre90 history,False,False,[],,,,,,,,,
P08-05,56,Blood,"[2, 49]",True,Ordinary stall transaction,approved pre90 history,False,False,[],,,,,,,,,
P08-06,56,Blood,"[2, 49]",True,Ordinary stall transaction,approved pre90 history,False,False,[],,,,,,,,,
P06-13,94,Bone,"[-34.3, 9.2]",False,Concealed beside coop; parent shelters child,E040,True,True,"[{""t"": 94, ""cause"": ""Bone E-M05-injury"", ""destination"": ""Cottage_04""}]",True,Local intended precise strike during Concealed beside coop; parent shelters child,"[""parent-child"", ""lower-yard-west"", ""smith-pair""]","[""P06-09"", ""P06-10"", ""P06-14"", ""P07-01"", ""P07-02""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.25,[],,
P08-07,98,Blood,"[3, 50.8]",False,Injured at first public strike,E044,False,False,[],False,Exposed corridor,"[""stall-injured"", ""centre-goods"", ""centre-neighbours""]","[""P08-08"", ""P08-09"", ""P08-10"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,[],,
P08-08,98,Blood,"[3, 50.8]",False,Injured at first public strike,E044,False,False,[],False,Exposed corridor,"[""stall-injured"", ""centre-goods"", ""centre-neighbours""]","[""P08-09"", ""P08-10"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,[],,
P08-09,98,Blood,"[3, 50.8]",False,Injured at first public strike,E044,False,False,[],False,Exposed corridor,"[""stall-injured"", ""centre-goods"", ""centre-neighbours""]","[""P08-10"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,[],,
P08-10,98,Blood,"[3, 50.8]",False,Injured at first public strike,E044,False,False,[],False,Exposed corridor,"[""stall-injured"", ""centre-goods"", ""centre-neighbours""]","[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,0.75,[],,
P08-12,98,Blood,"[3.0, 50.8]",False,Neighbours reach already-visible injured stall users to lift them,E044,False,False,[],False,Exposed corridor,"[""centre-goods"", ""centre-neighbours""]","[""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
P08-13,98,Blood,"[3.0, 50.8]",False,Neighbours reach already-visible injured stall users to lift them,E044,False,False,[],False,Exposed corridor,"[""centre-goods"", ""centre-neighbours""]","[""P08-14"", ""P08-15"", ""P08-16"", ""P08-20"", ""P08-21"", ""P08-22""]",Only listed witnesses receive the cause/death; others may later hear reports.,1,[],,
