id,cohort,role,time,actor,event,x_m,y_m,intention,direct_death_witness_groups,building,accessible_blood_units_generated
P01G02:01,P01,middle-strip workers,109.80494150079625,Barrier,V2E011,60.66840055135362,-38.0,field workers try the near field edge toward woodland,"[""P01G02""]",,1.0
P02G01:01,P02,remaining field workers,110.85683340942796,Barrier,V2E013,-70.45661679602753,-48.0,field workers try the near field edge toward woodland,"[""P02G01""]",,1.0
P05G01:01,P05,M01 handcart worker,4,Bone,E01,-0.7454818255216089,-11.116566489395732,M01 handcart worker,"""preserved T1/Step2B record""",,1.0
P05G02:01,P05,M01 accompanying worker,6,Bone,E02,-1.1954818255216089,-11.666566489395732,M01 accompanying worker,"""preserved T1/Step2B record""",,1.0
P05G03:01,P05,recoiled agricultural witnesses,157.1999407340808,Barrier,V2E029,-1.5262873000506019,-163.7397366354071,"tries the known approach or nearby clearing exit, not knowing contact is lethal","[""P05G03""]",,1.0
P06G01:01,P06,household NeedleHouse,156.5,Blood,V2E028,2.153019047486295,20.820845540683067,household stays together inside and listens; exact threat unknown,[],NeedleHouse,1.0
P06G01:02,P06,household NeedleHouse,156.5,Blood,V2E028,2.803019047486295,20.820845540683067,household stays together inside and listens; exact threat unknown,[],NeedleHouse,1.0
P06G04:01,P06,household Cottage_09,146.0,Blood,V2E026,-14.877399970580123,29.341668653450334,leaves locally threatened position for familiar cover; no knowledge of later target,[],,1.0
P06G05:01,P06,yard NeedleHouse,156.5,Blood,V2E028,2.803019047486295,21.220845540683065,inside chosen refuge / household; tries to close entrance and quiet companions,[],NeedleHouse,1.0
P06G08:01,P06,yard Cottage_09,146.0,Blood,V2E026,-14.877399970580123,29.341668653450334,leaves locally threatened position for familiar cover; no knowledge of later target,[],,1.0
P06G09:01,P06,parent,115.0,Bone,V2E016,-34.949999999999996,8.799999999999999,"parent holds child still at coop, knowing Bone is watching","[""P06G09""]",,1.0
P07G01:01,P07,smith and apprentice,243.8531872062193,Blood,V2E049,-41.88213438159804,37.88402912726026,shuts work yard and heads toward household after no useful reply,[],WeaverCottage,1.0
P07G01:02,P07,smith and apprentice,243.8531872062193,Blood,V2E049,-41.232134381598044,37.88402912726026,shuts work yard and heads toward household after no useful reply,[],WeaverCottage,1.0
P07G02:01,P07,repair customer,179.54736153835947,Blood,V2E035,-28.70080697669929,47.735625027594516,inside chosen refuge / household; tries to close entrance and quiet companions,[],Cottage_10,1.0
P07G03:01,P07,assistant walking home,45,Bone,B11,-28.401767137845624,37.62347907123548,assistant walking home,"""preserved T1/Step2B record""",,1.0
P08G01:01,P08,water carriers,229.15603324227774,Blood,V2E047,-38.549308185831045,50.36175294041746,inside chosen refuge / household; tries to close entrance and quiet companions,[],Cottage_05,1.0
P08G01:02,P08,water carriers,229.15603324227774,Blood,V2E047,-37.899308185831046,50.36175294041746,inside chosen refuge / household; tries to close entrance and quiet companions,[],Cottage_05,1.0
P08G02:01,P08,struck well users,56,Blood,E03,-4.0,49.0,struck well users,"""preserved T1/Step2B record""",,1.0
P08G02:02,P08,struck well users,56,Blood,E03,-4.0,49.0,struck well users,"""preserved T1/Step2B record""",,1.0
