id,person,t,type,xy,intention,attacker,cause,exposure,witnesses,knowledge_change,blood_units,source_history
PRE-P05-01,P05-01,4,death,"[-0.7454818255, -11.1165664894]",homeward handcart worker,Bone,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P05-02,P05-02,6,death,"[-1.1954818255, -11.6665664894]",homeward partner,Bone,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P07-03,P07-03,45,death,"[-28.4017671378, 37.6234790712]",forge assistant on homeward walk,Bone,Approved pre90 fatality,approved T1/Bone history,"[""P08-01"", ""P08-02""]",Preserved approved local awareness overlay,1,True
PRE-P08-03,P08-03,56,death,"[-3.6, 49]",other well users,Blood,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P08-04,P08-04,56,death,"[-3.6, 49]",other well users,Blood,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P08-05,P08-05,56,death,"[2, 48]",stall users,Blood,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P08-06,P08-06,56,death,"[2, 48]",stall users,Blood,Approved pre90 fatality,approved T1/Bone history,[],Preserved approved local awareness overlay,1,True
PRE-P08-07,P08-07,56,injury,"[3, 50]",injured stall users needing help,Blood,Approved pre90 injury,approved T1/Bone history,[],Preserved approved local awareness overlay,0.22,True
PRE-P08-08,P08-08,56,injury,"[3, 50]",injured stall users needing help,Blood,Approved pre90 injury,approved T1/Bone history,[],Preserved approved local awareness overlay,0.22,True
PRE-P08-09,P08-09,56,injury,"[3, 50]",injured stall users needing help,Blood,Approved pre90 injury,approved T1/Bone history,[],Preserved approved local awareness overlay,0.22,True
PRE-P08-10,P08-10,56,injury,"[3, 50]",injured stall users needing help,Blood,Approved pre90 injury,approved T1/Bone history,[],Preserved approved local awareness overlay,0.22,True
K012,P08-21,96.0,death,"[7, 46]",junction goods and passing group,Blood,pressure strike at physical concentration,direct corridor / light-structure failure,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10"", ""P08-11"", ""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16"", ""P08-22"", ""P08-23"", ""P08-24"", ""P08-25"", ""P08-26"", ""P09-08"", ""P09-09"", ""P09-10"", ""P09-11"", ""P10-23"", ""P10-24""]",Only listed direct witnesses receive Blood event knowledge; subsequent warnings are separate.,1,False
