id,cohort,micro,role,group,x_m,y_m,place,injured,intention,why_survived
P01G01:01,P01,,long-field workers,P01G01,10.063737567507129,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P01G01:02,P01,,long-field workers,P01G01,10.71373756750713,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P01G01:03,P01,,long-field workers,P01G01,11.36373756750713,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P01G02:02,P01,,middle-strip workers,P01G02,10.71373756750713,-45.215209923211226,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P01G03:01,P01,,orchard witness,P01G03,10.71373756750713,-44.81520992321123,Farmstead_West,False,inside chosen refuge / household; tries to close entrance and quiet companions,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
P02G01:02,P02,,remaining field workers,P02G01,-20.004663250524004,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P02G02:01,P02,,storage returners,P02G02,-20.654663250524003,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P02G02:02,P02,,storage returners,P02G02,-20.004663250524004,-43.289977263076324,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P02G03:01,P02,M02,pasture gate keeper,P02G03,-20.004663250524004,-42.889977263076325,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P02G04:01,P02,,second pasture keeper,P02G04,-20.004663250524004,-42.889977263076325,Farmstead_South,False,inside chosen refuge / household; tries to close entrance and quiet companions,"Returned along known farm access after blackout/barrier discovery. The group remained on the lower agricultural side, outside both actors' executed incidents; no global sensing or cleanup was allowed."
P03G01:01,P03,,farmhouse family,P03G01,10.063737567507129,-45.215209923211226,Farmstead_West,False,farmhouse household draws together at home; distant emergency has no identified local attacker,Returned to farm household after separate local warnings/contact; the farmhouse stayed outside Blood's executed attack reach and below the sensed northern concentrations. Bone never acquired this farm group.
