time,recipient_group,category,mode,source,content
90.0,P06G08,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G01,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G04,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G05,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G06,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G07,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G09,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G10,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P09G02,Blood,direct,V2E001,"direct visible windup at [-2.2088023688951393, 44.52432308637402]"
90.0,P08G01,Witch,direct,direct proximity,"called to familiar calm woman; ignored, no explanation of responsibility"
91.91999999999999,P06G04,Blood,reported,P06G08,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
91.91999999999999,P11G05,Blood,reported,P08G06,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
91.91999999999999,P10G02,Blood,reported,P08G08,reported direct first Blood attack
91.91999999999999,P10G09,Blood,reported,P08G08,reported direct first Blood attack
91.91999999999999,P09G01,Blood,reported,P09G02,"reported direct visible windup at [-2.2088023688951393, 44.52432308637402]"
92.0,P06G09,Bone,direct,V2E003,"direct deliberate object strike at [-33.199999999999996, 8.5]"
92.0,P07G01,Bone,direct,V2E003,"direct deliberate object strike at [-33.199999999999996, 8.5]"
93.5,P05G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G04,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G05,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G06,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G07,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G08,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P06G09,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P07G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P07G02,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P08G01,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P08G04,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P08G05,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P08G06,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P08G07,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P08G08,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P08G09,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P08G10,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P09G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P09G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P09G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G04,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G05,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G06,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G07,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G08,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P10G09,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G04,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G05,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G06,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G07,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G08,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G09,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G10,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P11G11,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G04,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G05,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G06,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G07,Blood,direct,V2E004,"direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.5,P12G08,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P13G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P14G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P14G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P14G03,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P14G04,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P15G01,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P16G02,sound,heard,V2E004,heavy crash / screams; cause and exact victims not visible
93.5,P12G05,Blood,reported,P12G07,"reported direct blood strike at [-2.2088023688951393, 44.52432308637402]"
93.91999999999999,P01G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P01G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P01G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P02G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P02G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P02G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P02G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P03G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P03G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P04G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P04G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P04G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P05G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G01,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G02,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G03,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G04,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
93.91999999999999,P06G05,sound,heard,V2E005,"public emergency bell; no attacker, location, barrier rule or safe-route information"
