id,origin,micro,role,xy,shelter,injured,intention,personality,knowledge,carried_goods,reason
P01-01,P01,,returning long-field workers,"[11.299987856640945, -55.20000170665566]",NorthBarn,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""report: violence downhill from village"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P01-02,P01,,returning long-field workers,"[11.299987856640945, -55.20000170665566]",NorthBarn,False,shelter and listen,kin-first,"{""emergency"": true, ""Blood"": ""report: violence downhill from village"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P01-03,P01,,returning long-field workers,"[11.299987856640945, -55.20000170665566]",NorthBarn,False,shelter and listen,escape-minded,"{""emergency"": true, ""Blood"": ""report: violence downhill from village"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": true, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P01-05,P01,,finish middle strip rows,"[11.299987856640945, -55.20000170665566]",NorthBarn,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 4, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P01-06,P01,,orchard worker delivering lower-road warning,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""report: two people attacked on approach"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-01,P02,,returning western field pair,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-02,P02,,returning western field pair,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,authority-seeking,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-03,P02,,finish western rows,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,cautious,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-04,P02,,finish western rows,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-05,P02,M02,pasture gate keeper,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P02-06,P02,,second animal keeper,"[-21.500000000000007, -53.900000000000006]",SouthBarn,False,shelter and listen,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 1, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-01,P03,,household preparing evening food / domestic work,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,household preparing evening food / domestic work,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-02,P03,,household preparing evening food / domestic work,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,household preparing evening food / domestic work,practical,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
P03-03,P03,,household preparing evening food / domestic work,"[10.71373756750713, -44.81520992321123]",Farmstead_West,False,household preparing evening food / domestic work,kin-first,"{""emergency"": true, ""Blood"": ""unknown"", ""Bone"": ""unknown"", ""barrier"": 0, ""barrier_report"": false, ""Witch"": ""ordinary neighbour; cause unknown"", ""warnings"": [], ""bell"": ""heard: public emergency""}",,No executed search branch reached this footprint. It lay outside the chosen local search network or was passed over by its limited branch budget. The retained occupants were not exposed by an executed Bone incident.
