id,origin_cohort,count,label,micro_membership,injured_count,start_xy_m,start_source,end_xy_m,knowledge_at_90,barrier_knowledge_at_90,barrier_knowledge_at_105,barrier_evidence,emotion,intent,destination_intent,movement_start_s,movement_stop_s,distance_m,mean_plan_speed_m_s,companions,people_left_behind,help_target,concentration_id,potential_bone_stimulus,heads_toward_boundary,approaches_witch,seeks_mayor,final_outcome
R01,P01,3,Long-field crew at barn gate,{},0,"[5.8, -61.8]",T1 N08 end +37,"[5.8, -61.8]",Received the orchard warning at the barn gate; has not directly seen an attacker.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,FREEZE / DELAY,Stop and compare the farm warning before choosing an exit.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G03,,False,False,False,
R02,P01,2,Middle-strip workers,{},0,"[30, -39]",REFINEMENT within assigned MiddleStripField; not the old cohort anchor,"[23, -38.5]","Heard the relayed lower warning; sees the enclosure and darkness, not a proven impassable surface.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,"Start west toward the field access, intending the known lower road.",95,105,7.018,0.702,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,True,False,False,
R03,P01,1,Orchard warning bearer,{},0,"[9.2, -36.3]",T1 R02 end +25,"[9.2, -36.9]",Saw the first aftermath/recoiling workers; already relayed danger here. Does not track Bone after that.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Call into the eastern farmhouse from the yard edge.,95,105,0.6,0.06,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,"R07 household, voice at adjacent frontage",,"A local warning call, distant and building-masked from Bone.",False,False,False,
R04,P02,2,Remaining western field workers,{},0,"[-36, -62]",REFINEMENT within assigned SouthLongField; the two who did not take N09,"[-43, -62]",Distant lower calls and visible western sheet; no attack witnessed here.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,Begin toward the field-side track and familiar woodland margin.,95,105,7.0,0.7,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,True,False,False,
R05,P02,2,Field workers at western storage,{},0,"[-25.4, -51.3]",T1 N09 end +30,"[-25.4, -51.3]","Knows danger from lower calls/crash, not the attackers location.",B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Frightened; seeking familiar protection,SEEK SHELTER,"Stay against the barn-side access, intending its immediate storage cover.",,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,G04,,False,False,False,
R06,P02,2,Returning pasture keepers,"{""M02"": 1}",0,"[-19.2, -59.6]","T1 N10 and N11 share end (-19.2,-59.6)","[-14.006635017021702, -65.16220399760476]",Received lower warning and saw the sheet; testing a familiar way still seems possible.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,ESCAPE,Retrace the familiar pasture access toward the lower clearing.,95,105,8.0,0.8,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,True,False,False,
R07,P03,3,Eastern farmhouse occupants,{},0,"[10.71373756750713, -44.81520992321123]",REFINEMENT within the assigned farmhouse interior,"[10.71373756750713, -44.81520992321123]",Earlier orchard warning reached the household; now windows have gone dark. No direct monster sight.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Keep the household together inside; respond to the warning at the frontage.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R08,P03,2,Eastern barn-side workers,{},0,"[17, -61.5]","REFINEMENT existing NorthBarn south service apron, subset of four yard workers","[8, -61.5]",Received orchard warning; the nearby stopped crew is visible across the apron.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,HELP,Move around the barn south edge to ask the stopped crew what is happening.,95,105,9.0,0.9,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,R01; exchange local warning,G03,,False,False,False,
R09,P03,2,Eastern domestic yard pair,{},0,"[17.4, -45]","REFINEMENT east farmhouse yard, remaining two yard occupants","[17.4, -45]",Knows the orchard report; darkness reinforces danger. No remote event detail.,B1,B1,Saw the enclosure from this outdoor position as it formed/darkened; no physical properties tested.,Alarmed; urgent but locally informed,SEEK FAMILY,Stay at the nearby house side and call to occupants; intend to enter together.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
R10,P04,3,Western farmhouse occupants,{},0,"[-20.004663250524004, -42.889977263076325]",REFINEMENT within assigned farmhouse interior,"[-20.004663250524004, -42.889977263076325]",Blackout and partial calls through the yard; no direct attack view.,B0,B0,"Only abnormal window light, panic sounds and incomplete nearby warnings; no clear enclosing-rim view is established.",Frightened; seeking familiar protection,SEEK SHELTER,Hold inside as a household; no trip begins.,,,0.0,0,Existing subgroup only; no unnamed additions.,Other original-cohort subgroups remain in their separately recorded positions.,,,,False,False,False,
