time_s,topic,channel,source,source_group,recipients,claim,phase
100,bell,sound,BELL_FIRST,,R01:01;R01:02;R01:03;R02:01;R02:02;R03:01;R04:01;R04:02;R05:01;R05:02;R06:01;R06:02;R08:01;R08:02;R09:01;R09:02;R11:01;R11:02;R12:01;R13:01;R13:02;R13:03;R13:04;R14:01;R14:02;R15:01;R15:02;R15:03;R16:01;R16:02;R16:03;R17:01;R17:02;R18:01;R18:02;R19:01;R19:02;R20:01;R20:02;R21:01;R23:01;R24:01;R25:01;R27:01;R28:01;R29:01;R30:01;R30:02;R30:03;R31:01;R31:02;R32:01;R32:02;R33:01;R33:02;R34:01;R34:02;R35:01;R35:02;R35:03;R36:01;R36:02;R37:01;R37:02;R37:03;R38:01;R38:02;R38:03;R38:04;R39:01;R39:02;R39:03;R40:01;R40:02;R40:03;R40:04;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R43:01;R43:02;R44:01;R44:02;R45:01;R45:02;R46:01;R46:02;R46:03;R46:04;R46:05;R47:01;R48:01;R48:02;R49:01;R49:02;R50:01;R50:02;R51:01;R51:02;R52:01;R52:02;R53:01;R53:02;R54:01;R54:02;R55:01;R55:02;R56:01;R57:01;R57:02;R58:01;R58:02;R58:03;R59:01;R59:02;R60:01;R60:02;R61:01;R61:02;R62:01;R62:02;R63:01;R63:02;R64:01;R64:02;R65:01;R65:02;R65:03;R66:01;R67:01;R68:01;R68:02;R69:01;R69:02;R70:01;R70:02;R71:01;R72:01;R72:02;R72:03;R73:01;R74:01;R75:01;R76:01;R77:01;R77:02;R77:03;R78:01;R79:01;R79:02,"The ordinary church bell gives a public emergency alarm. It identifies no attacker, cause, safe route or barrier property.",C00_reaction
117,Bone,direct,A01_BONE_SMITH,,R14:01;R14:02;R20:02,One exact attack on the intervening smith. Bone then watches the apprentice instead of clearing the family home. Local event only; no remote actor position or safe-route guarantee.,C01_action
117,specific_deaths,direct,A01_BONE_SMITH,,R14:01;R14:02;R20:02,Saw the immediately exposed people struck; event A01_BONE_SMITH records who. No remote deaths inferred.,C01_action
117,warnings,sound,A01_BONE_SMITH,,,Heard a close abrupt strike/cries; source details not yet established.,C01_action
119,barrier,relay,SERVICE_GUARD_REPORT,,R76:01,The unnatural enclosure is visible outside; its contact properties have not been tested.,C02_reaction
123.04,barrier,direct,A02_BARRIER_WEST,,R58:02;R58:03;R72:01;R72:02;R72:03,The leading western escape walker attempts physical crossing; the barrier responds locally and lethally. Local event only; no remote actor position or safe-route guarantee.,C02_action
123.04,specific_deaths,direct,A02_BARRIER_WEST,,R58:02;R58:03;R72:01;R72:02;R72:03,Saw the immediately exposed people struck; event A02_BARRIER_WEST records who. No remote deaths inferred.,C02_action
123.04,warnings,sound,A02_BARRIER_WEST,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C02_action
127,Bone,direct,A03_BONE_BUCKET,,R24:01;R25:01;R28:01;R29:01;R32:01;R32:02;R33:01;R33:02,An exact strike splits a carried water-container rim beside the fleeing pair; neither person is hit. Local event only; no remote actor position or safe-route guarantee.,C03_action
127,warnings,sound,A03_BONE_BUCKET,,,Heard a close abrupt strike/cries; source details not yet established.,C03_action
129.909,barrier,direct,A03_BARRIER_EAST,,R70:02,The leading animal-yard resident touches/attempts crossing and suffers a localized lethal response. Local event only; no remote actor position or safe-route guarantee.,C03_action
129.909,specific_deaths,direct,A03_BARRIER_EAST,,R70:02,Saw the immediately exposed people struck; event A03_BARRIER_EAST records who. No remote deaths inferred.,C03_action
129.909,warnings,sound,A03_BARRIER_EAST,,R71:01,Heard an abrupt perimeter impact/cries; source details not yet established.,C03_action
132.3,barrier,relay,HOUSE_GUARD_REPORT,,R73:01,Service guard reports an unnatural enclosure. Nobody at the estate has tested it.,C04_reaction
133,Blood,direct,A04_BLOOD_WEST_SHELTER,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C04_action
133,specific_deaths,direct,A04_BLOOD_WEST_SHELTER,,,Saw the immediately exposed people struck; event A04_BLOOD_WEST_SHELTER records who. No remote deaths inferred.,C04_action
133,warnings,sound,A04_BLOOD_WEST_SHELTER,,R20:02;R23:01;R24:01;R27:01;R28:01;R33:01;R33:02;R34:01;R34:02;R37:01;R37:02;R37:03;R39:01;R39:02;R39:03;R49:01;R49:02;R50:01;R50:02;R54:01;R54:02;R55:01;R55:02;R56:01;R57:01;R57:02;R60:01;R60:02;R64:01;R64:02;R72:01;R72:02;R72:03,Heard a heavy crash/cries; source details not yet established.,C04_action
135.615,barrier,direct,A05_BARRIER_FIELD,,R04:02,A west-field worker physically tests the wooded field margin and is killed by the local response. Local event only; no remote actor position or safe-route guarantee.,C05_action
135.615,specific_deaths,direct,A05_BARRIER_FIELD,,R04:02,Saw the immediately exposed people struck; event A05_BARRIER_FIELD records who. No remote deaths inferred.,C05_action
135.615,warnings,sound,A05_BARRIER_FIELD,,,Heard an abrupt perimeter impact/cries; source details not yet established.,C05_action
138,warnings,relay,UPPER_ARRIVALS,R65,R74:01,"The village is in an emergency; darkness, alarm and disturbances below. These upper residents do not know precise attacker positions.",C06_reaction
138,barrier,relay,SERVICE_GUARD_REPORT,R75,R74:01;R65:01;R65:02;R65:03,The service approach also appears enclosed. The guard has no contact evidence and cannot identify a safe exit.,C06_reaction
140,Bone,direct,A06_BONE_WATER,,R33:02,One water carrier is killed precisely while trying to obtain entry; the other is deliberately left alive at the same threshold. Local event only; no remote actor position or safe-route guarantee.,C06_action
140,specific_deaths,direct,A06_BONE_WATER,,R33:02,Saw the immediately exposed people struck; event A06_BONE_WATER records who. No remote deaths inferred.,C06_action
140,warnings,sound,A06_BONE_WATER,,R31:01;R31:02;R52:01;R52:02;R54:01;R54:02,Heard a close abrupt strike/cries; source details not yet established.,C06_action
141,barrier,relay,WEST_WOODCUTTER_WARNING,R72,R50:01;R50:02,A person was killed touching the western trail boundary. Do not try to cross there; we saw it happen.,C06_reaction
142,routes_safety,relay,GATE_ADMISSION,R75,R65:01;R65:02;R65:03,"Stay in the courtyard while I ask people lower down. This is a guard instruction, not proof the estate is safe.",C07_reaction
143,Bone,relay,WATER_CARRIER_WARNING,R33,R31:01;R31:02;R52:01;R52:02,The precise attacker followed us to this doorway and killed my companion. Stay away from the opening.,C07_reaction
147,Bone,direct,A07_BONE_SHUTTER,,,"A precise nonhuman hit pins the shutter edge; the hidden household is threatened, not assigned an unseen casualty. Local event only; no remote actor position or safe-route guarantee.",C07_action
147,warnings,sound,A07_BONE_SHUTTER,,R24:01;R28:01;R49:01;R49:02;R54:01;R54:02;R56:01;R57:01;R57:02;R72:01;R72:02;R72:03,Heard a close abrupt strike/cries; source details not yet established.,C07_action
148,Blood,direct,TAVERN_APPROACH_SEEN,,R39:01;R34:01;R34:02,"The heavy attacker is now close to the tavern front, coming from the damaged west side.",C08_reaction
148,Blood,relay,TAVERN_FRONT_WARNING,R39H,R38:01;R38:02;R38:03;R38:04;R39:02;R39:03,The heavy attacker is at the front! Get away from the entry.,C08_reaction
153,barrier,relay,EAST_YARD_WARNING,R70,R71:01,My companion was killed touching the eastern boundary. Do not test it.,C08_reaction
153,Blood,direct,A08_BLOOD_TAVERN,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C08_action
153,specific_deaths,direct,A08_BLOOD_TAVERN,,,Saw the immediately exposed people struck; event A08_BLOOD_TAVERN records who. No remote deaths inferred.,C08_action
153,warnings,sound,A08_BLOOD_TAVERN,,R16:01;R16:02;R16:03;R17:01;R17:02;R18:01;R18:02;R19:01;R19:02;R21:01;R23:01;R24:01;R27:01;R28:01;R30:01;R30:02;R30:03;R34:01;R34:02;R36:01;R36:02;R37:01;R37:02;R37:03;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R44:01;R44:02;R57:01;R57:02;R60:01;R60:02;R39:01,Heard a heavy crash/cries; source details not yet established.,C08_action
154,Bone,direct,A08_BONE_RESCUER,,R57:02;R24:01;R28:01,One helper is killed precisely while taking the injured escort under the arm; Bone leaves the injured and second helper alive. Local event only; no remote actor position or safe-route guarantee.,C08_action
154,specific_deaths,direct,A08_BONE_RESCUER,,R57:02;R24:01;R28:01,Saw the immediately exposed people struck; event A08_BONE_RESCUER records who. No remote deaths inferred.,C08_action
154,warnings,sound,A08_BONE_RESCUER,,R49:01;R49:02;R55:01;R55:02;R56:01,Heard a close abrupt strike/cries; source details not yet established.,C08_action
155,Blood,relay,TAVERN_LEAVER_WARNING,R37,R36:01;R36:02;R41:01;R41:02;R41:03;R41:04,The tavern frontage has just been struck. People were inside it. This nearby house is close to the impact.,C09_reaction
159,Bone,direct,A09_BONE_OBSERVES,,R57:02,Bone stops visibly ahead of the retreating helper and watches; no hit is attempted. Local event only; no remote actor position or safe-route guarantee.,C09_action
159,warnings,sound,A09_BONE_OBSERVES,,,Heard a close abrupt strike/cries; source details not yet established.,C09_action
160,barrier,relay,EAST_HOUSE_WARNING,R70,R68:01;R68:02,We saw the eastern edge kill someone on contact. Stay away from it; there is no tested safe passage.,C10_reaction
161,barrier,relay,CART_ENCLOSURE_REPORT,R79,R78:01,The service side is enclosed; we have seen no crossing. The cart cannot simply leave by its road.,C10_reaction
169,Witch,direct,CALM_WALK_SEEN,,R60:01;R60:02;R67:01,A woman from the village walks steadily along the uphill road despite the panic. This observation does not establish responsibility for the attacks.,C11_reaction
171,Bone,direct,A11_BONE_HELPER,,R24:01;R28:01,The pursued helper is killed with an exact strike while trying the next gap. Local event only; no remote actor position or safe-route guarantee.,C11_action
171,specific_deaths,direct,A11_BONE_HELPER,,R24:01;R28:01,Saw the immediately exposed people struck; event A11_BONE_HELPER records who. No remote deaths inferred.,C11_action
171,warnings,sound,A11_BONE_HELPER,,R30:01;R30:02;R30:03,Heard a close abrupt strike/cries; source details not yet established.,C11_action
172,Blood,direct,A11_BLOOD_RESCUE,,,One broad heavy surge across the selected physical concentration and intervening timber. Local event only; no remote actor position or safe-route guarantee.,C11_action
172,specific_deaths,direct,A11_BLOOD_RESCUE,,,Saw the immediately exposed people struck; event A11_BLOOD_RESCUE records who. No remote deaths inferred.,C11_action
172,warnings,sound,A11_BLOOD_RESCUE,,R24:01;R28:01;R30:01;R30:02;R30:03;R35:01;R35:02;R35:03;R36:01;R36:02;R37:01;R37:02;R37:03;R40:01;R40:02;R40:03;R40:04;R41:01;R41:02;R41:03;R41:04;R42:01;R42:02;R43:01;R43:02;R44:01;R44:02;R45:01;R45:02;R46:01;R46:02;R46:03;R46:04;R46:05;R47:01;R48:01;R48:02;R70:02;R71:01,Heard a heavy crash/cries; source details not yet established.,C11_action
173,barrier,relay,FIELD_STORAGE_WARNING,R04,R05:01;R05:02;R11:01;R11:02;R12:01,The wooded field edge killed my companion when touched. Do not test it.,C11_reaction
176,Blood,relay,DAMAGED_HOME_REPORT,R49,R51:01;R51:02;R59:01;R59:02,A heavy impact struck our house corner. People were calling from the nearest refuge when it failed. We do not know the attacker's present location.,C12_reaction
181,Bone,direct,A12_BONE_BELL,,R60:01;R60:02;R64:01;R64:02;R69:01;R69:02,The bell keeper is killed precisely at the entrance rope. The ordinary alarm stops; the other people inside are not systematically cleared. Local event only; no remote actor position or safe-route guarantee.,C12_action
181,specific_deaths,direct,A12_BONE_BELL,,R60:01;R60:02;R64:01;R64:02;R69:01;R69:02,Saw the immediately exposed people struck; event A12_BONE_BELL records who. No remote deaths inferred.,C12_action
