person,origin_cohort,current_group,role,alive,injured,death_event,death_time_s,attacker,attempted_activity,exposure,direct_barrier_level,received_barrier_warning
R01:01,P01,R01,ordinary villager,True,False,,,,,,B1,False
R01:02,P01,R01,ordinary villager,True,False,,,,,,B1,False
R01:03,P01,R01,ordinary villager,True,False,,,,,,B1,False
R02:01,P01,R02,ordinary villager,True,False,,,,,,B1,False
R02:02,P01,R02,ordinary villager,True,False,,,,,,B1,False
R03:01,P01,R03,ordinary villager,True,False,,,,,,B1,False
R04:01,P02,R04L,ordinary villager,False,False,A05_BARRIER_FIELD,135.615,barrier,attempt crossing,Neither western field worker has received a trail or animal-yard warning. Their ordinary escape attempt reaches the actual rim.,B1,False
R04:02,P02,R04,ordinary villager,True,False,,,,,,B4,False
R05:01,P02,R05,ordinary villager,True,False,,,,,,B1,False
R05:02,P02,R05,ordinary villager,True,False,,,,,,B1,False
R06:01,P02,R06,ordinary villager,True,False,,,,,,B1,False
R06:02,P02,R06,ordinary villager,True,False,,,,,,B1,False
R07:01,P03,R07,ordinary villager,True,False,,,,,,B0,False
R07:02,P03,R07,ordinary villager,True,False,,,,,,B0,False
R07:03,P03,R07,ordinary villager,True,False,,,,,,B0,False
R08:01,P03,R08,ordinary villager,True,False,,,,,,B1,False
R08:02,P03,R08,ordinary villager,True,False,,,,,,B1,False
R09:01,P03,R09,ordinary villager,True,False,,,,,,B1,False
R09:02,P03,R09,ordinary villager,True,False,,,,,,B1,False
R10:01,P04,R10,ordinary villager,True,False,,,,,,B0,False
R10:02,P04,R10,ordinary villager,True,False,,,,,,B0,False
R10:03,P04,R10,ordinary villager,True,False,,,,,,B0,False
R11:01,P04,R11,ordinary villager,True,False,,,,,,B1,False
R11:02,P04,R11,ordinary villager,True,False,,,,,,B1,False
R12:01,P04,R12,ordinary villager,True,False,,,,,,B1,False
R13:01,P05,R13L,ordinary villager,False,False,A15_BARRIER_APPROACH,204.271,barrier,attempt crossing,This group has travelled the main approach without meeting any side-boundary witness. Familiar geography did not supply the missing contact rule.,B1,False
R13:02,P05,R13,ordinary villager,True,False,,,,,,B4,False
R13:03,P05,R13,ordinary villager,True,False,,,,,,B4,False
R13:04,P05,R13,ordinary villager,True,False,,,,,,B4,False
R14:01,P06,R14,parent,True,False,,,,,,B0,False
R14:02,P06,R14,child,True,False,,,,,,B0,False
R15:01,P06,R15,ordinary villager,True,False,,,,,,B0,False
R15:02,P06,R15,ordinary villager,True,False,,,,,,B0,False
R15:03,P06,R15,ordinary villager,True,False,,,,,,B0,False
R16:01,P06,R16,ordinary villager,True,False,,,,,,B0,False
R16:02,P06,R16,ordinary villager,True,False,,,,,,B0,False
R16:03,P06,R16,ordinary villager,True,False,,,,,,B0,False
R17:01,P06,R17,ordinary villager,True,False,,,,,,B0,False
R17:02,P06,R17,ordinary villager,True,False,,,,,,B0,False
R18:01,P06,R18,ordinary villager,True,False,,,,,,B1,False
R18:02,P06,R18,ordinary villager,True,False,,,,,,B1,False
R19:01,P06,R19,ordinary villager,True,False,,,,,,B1,False
R19:02,P06,R19,ordinary villager,True,False,,,,,,B1,False
R20:01,P07,R20S,smith,False,False,A01_BONE_SMITH,117,Bone,protect,Smith stepped into the open attempting to protect the nearby parent/child; direct precise exposure.,B1,False
R20:02,P07,R20,apprentice,True,False,,,,,,B1,False
R21:01,P07,R21,ordinary villager,True,False,,,,,,B1,False
R22:01,P08,R22,ordinary villager,False,False,E_BLOOD_2,108,Blood,HELP,Direct central mass of the broad surge. Already unable to stand while asking for help.,,False
R22:02,P08,R22,ordinary villager,False,False,E_BLOOD_2,108,Blood,HELP,Direct central mass of the broad surge. Already unable to stand while asking for help.,,False
R23:01,P08,R23,ordinary villager,False,True,A11_BLOOD_RESCUE,172,Blood,desperate supported retreat,The visible slow five-person rescue group is Blood's selected physical concentration. Their supported retreat changes the location but cannot match the deliberate advance.,B0,False
R24:01,P08,R24,ordinary villager,True,True,,,,,,B0,False
R25:01,P08,R25,ordinary villager,False,False,A04_BLOOD_WEST_SHELTER,133,Blood,continue entry attempt,Blood follows the last visible six-person rescue/refuge stream to its calling shelter. A heavy surge crosses the existing cottage wall and its north-side entry attempt; the limping escort continues outside at its slower pace.,B1,False
R26:01,P08,R26,ordinary villager,False,False,E_BLOOD_2,108,Blood,HELP,"Direct central mass of the broad surge. Kneeling beside the non-ambulant people, beginning assistance.",,False
R26:02,P08,R26,ordinary villager,False,False,E_BLOOD_2,108,Blood,HELP,"Direct central mass of the broad surge. Kneeling beside the non-ambulant people, beginning assistance.",,False
R27:01,P08,R27,ordinary villager,False,False,A11_BLOOD_RESCUE,172,Blood,desperate supported retreat,The visible slow five-person rescue group is Blood's selected physical concentration. Their supported retreat changes the location but cannot match the deliberate advance.,B1,False
R28:01,P08,R28,ordinary villager,True,True,,,,,,B1,False
R29:01,P08,R29,ordinary villager,False,False,A04_BLOOD_WEST_SHELTER,133,Blood,continue entry attempt,Blood follows the last visible six-person rescue/refuge stream to its calling shelter. A heavy surge crosses the existing cottage wall and its north-side entry attempt; the limping escort continues outside at its slower pace.,B1,False
R30:01,P08,R30,ordinary villager,True,False,,,,,,B1,False
R30:02,P08,R30,ordinary villager,True,False,,,,,,B1,False
R30:03,P08,R30,ordinary villager,True,False,,,,,,B1,False
R31:01,P08,R31,ordinary villager,True,False,,,,,,B1,False
R31:02,P08,R31,ordinary villager,True,False,,,,,,B1,False
R32:01,P08,R32,ordinary villager,False,False,A04_BLOOD_WEST_SHELTER,133,Blood,continue entry attempt,Blood follows the last visible six-person rescue/refuge stream to its calling shelter. A heavy surge crosses the existing cottage wall and its north-side entry attempt; the limping escort continues outside at its slower pace.,B1,False
R32:02,P08,R32,ordinary villager,False,False,A04_BLOOD_WEST_SHELTER,133,Blood,continue entry attempt,Blood follows the last visible six-person rescue/refuge stream to its calling shelter. A heavy surge crosses the existing cottage wall and its north-side entry attempt; the limping escort continues outside at its slower pace.,B1,False
R33:01,P08,R33,ordinary villager,False,False,A06_BONE_WATER,140,Bone,continue shelter attempt,"Bone has observed and followed the specific clattering pair since +125. He selects the exposed caller, not the hidden household.",B1,False
R33:02,P08,R33,ordinary villager,True,False,,,,,,B1,False
