id,start,planned_end,actual_end,end_xy,end_reason,people,path,intention,kind,destination_shelter,group
M0001,94.0,101.5967496477458,102.0,"[5.950557695314772, -52.305256558398845]",arrived,"[""P01-01"", ""P01-02"", ""P01-03""]","[[5.8, -61.8], [5.950557695314772, -52.305256558398845]]",seek familiar home / nearby refuge,walk,NorthBarn,G001
M0002,94.0,102.29575017426885,103.0,"[-5.080181863356235, -9.518187774326982]",arrived,"[""P05-03"", ""P05-04"", ""P05-05"", ""P05-06""]","[[-1.52628730005, -19.2598640571], [-5.080181863356235, -9.518187774326982]]",seek familiar home / nearby refuge,walk,WitchHome,G015
M0003,94.0,102.9908378971299,99.0,"[-32.09347877672634, 2.728985851150895]",fresh local decision,"[""P06-13"", ""P06-14""]","[[-34.3, 9.2], [-34, 4], [-28, 0], [-28.646666573688574, 0.8480924969438206]]",parent and child seek cover,flee,Cottage_04,G022
M0004,94.0,95.19139523239924,96.0,"[-37.913614219567194, 13.934306538614651]",arrived,"[""P07-01"", ""P07-02""]","[[-39.5, 11.7], [-37.913614219567194, 13.934306538614651]]",seek familiar home / nearby refuge,flee,Blacksmith,G023
M0005,94.0,112.19691463931407,99.0,"[-0.13865005712885203, 50.84343098051059]",fresh local decision,"[""P08-07"", ""P08-08"", ""P08-09"", ""P08-10""]","[[3.0, 50.0], [-8.422749434450395, 53.069568311300834]]",help wounded toward nearest frontage,walk,Cottage_13,G029
M0006,94.0,113.78332197525204,99.0,"[7.65, 42.0]",fresh local decision,"[""P09-08"", ""P09-09"", ""P09-10"", ""P09-11""]","[[1.4, 42.0], [12, 42], [16, 32], [14, 30], [14.529735997044375, 29.973553754699157]]",seek familiar home / nearby refuge,walk,Tavern,G036
M0007,94.0,101.07204746887354,102.0,"[33.846659797415356, 38.32204648273157]",arrived,"[""P10-15"", ""P10-16""]","[[29.7, 32.0], [30, 36], [34, 38], [33.846659797415356, 38.32204648273157]]",seek familiar home / nearby refuge,walk,CrookedCottage,G043
M0008,94.0,111.51375876194662,112.0,"[-38.896467296399486, 44.06736582540069]",arrived,"[""P11-18""]","[[-43.342635002741716, 33.05822628444171], [-38, 32], [-36, 34], [-34, 42], [-38, 44], [-38.896467296399486, 44.06736582540069]]",seek familiar home / nearby refuge,walk,WeaverCottage,G057
M0009,94.0,118.40977640208939,119.0,"[-41.34, 155.6]",arrived,"[""P16-03""]","[[-22.0, 132.0], [-41.34, 155.6]]",check paused provisions delivery and cart route,walk,,G078
M0010,95.0,105.61857931839643,106.0,"[60.15067598639805, -62.28675910118936]",arrived,"[""P01-04"", ""P01-05""]","[[38.0, -52.0], [60.15067598639805, -62.28675910118936]]",try nearby forest/field edge; lethal response unknown,flee,,G002
M0011,95.0,120.756741156892,121.0,"[4.759349138335065, -44.4846076956938]",arrived,"[""P03-04"", ""P03-05"", ""P03-06"", ""P03-07""]","[[18.0, -54.0], [16, -60], [8, -60], [6, -58], [4, -44], [4.759349138335065, -44.4846076956938]]",seek familiar home / nearby refuge,walk,Farmstead_West,G009
M0012,95.0,102.77730936887282,99.0,"[-6.0008512225820025, 51.90774220228006]",fresh local decision,"[""P08-11""]","[[-11.0, 52.0], [-1.2800183442494808, 51.82062064136029]]",seek familiar home / nearby refuge,walk,Cottage_13,G030
M0013,95.0,95.34443919037994,96.0,"[14.529735997044375, 29.973553754699157]",arrived,"[""P09-12"", ""P09-13"", ""P09-14""]","[[14.1, 30.0], [14.529735997044375, 29.973553754699157]]",seek familiar home / nearby refuge,walk,Tavern,G037
M0014,95.0,105.47819104016865,99.0,"[42.16949295747765, 51.32202817008938]",fresh local decision,"[""P10-17"", ""P10-18"", ""P10-19"", ""P10-20"", ""P10-21""]","[[37.7, 51.9], [42, 52], [44, 44], [43.45531585094253, 44.07887152799609]]",seek familiar home / nearby refuge,walk,Cottage_07,G044
M0015,95.0,110.54945018822464,111.0,"[-35.0781322425839, 45.000936780188646]",arrived,"[""P11-19""]","[[-40.72047345196102, 56.52254729806806], [-44, 48], [-36, 44], [-35.0781322425839, 45.000936780188646]]",seek familiar home / nearby refuge,walk,Cottage_05,G058
M0016,96.0,105.08221575075679,106.0,"[4.759349138335065, -44.4846076956938]",arrived,"[""P01-06""]","[[9.2, -36.3], [6, -38], [4, -40], [4, -44], [4.759349138335065, -44.4846076956938]]",seek familiar home / nearby refuge,walk,Farmstead_West,G003
M0017,96.0,124.19417770911951,124.0,"[58.08738460598725, 21.93273272236116]",fresh local decision,"[""P08-12"", ""P08-13"", ""P08-14"", ""P08-15"", ""P08-16""]","[[6.0, 56.0], [30, 48], [34, 42], [40, 40], [58, 22], [58.44128274816206, 21.660307570166555]]",try nearby forest/field edge; lethal response unknown,flee,,G031
M0018,96.0,99.62877760271232,100.0,"[30.450290173022168, 24.513566303447995]",arrived,"[""P10-22""]","[[30.0, 20.0], [30.450290173022168, 24.513566303447995]]",seek familiar home / nearby refuge,walk,Cottage_06,G045
M0019,96.0,96.0,97.0,"[-24.100702942976255, 50.34665600277013]",arrived,"[""P11-20""]","[[-24.100702942976255, 50.34665600277013], [-24.100702942976255, 50.34665600277013]]",seek familiar home / nearby refuge,flee,Cottage_10,G059
