id,group,original_members,start_s,planned_end_s,executed_through_s,planned_distance_m,executed_distance_m,reason,phase
M001,R67,R67:01,92,94.7,94.7,2.7,2.7,Enter the existing south church entrance to use the approved ground-floor rope.,C00_reaction
M002,R67,R67:01,102,104.7,104.7,2.7,2.7,Return to admit neighbours after the short first peal.,C00_reaction
M003,R07,R07:01;R07:02;R07:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M004,R10,R10:01;R10:02;R10:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M005,R15,R15:01;R15:02;R15:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M006,R16,R16:01;R16:02;R16:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M007,R17,R17:01;R17:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M008,R37,R37:01;R37:02;R37:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M009,R38,R38:01;R38:02;R38:03;R38:04,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M010,R40,R40:01;R40:02;R40:03;R40:04,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M011,R41,R41:01;R41:02;R41:03;R41:04,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M012,R42,R42:01;R42:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M013,R43,R43:01;R43:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M014,R44,R44:01;R44:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M015,R49,R49:01;R49:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M016,R50,R50:01;R50:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M017,R51,R51:01;R51:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M018,R52,R52:01;R52:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M019,R53,R53:01;R53:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M020,R54,R54:01;R54:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M021,R55,R55:01;R55:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M022,R60,R60:01;R60:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M023,R61,R61:01;R61:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M024,R62,R62:01;R62:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M025,R63,R63:01;R63:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M026,R64,R64:01;R64:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M027,R68,R68:01;R68:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M028,R69,R69:01;R69:02,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M029,R73,R73:01,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M030,R76,R76:01,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M031,R77,R77:01;R77:02;R77:03,110,110,110,0,0.0,Keep the household together behind its existing walls; no known safe exit or remote attacker position.,C01_reaction
M032,R01,R01:01;R01:02;R01:03,112,114.049,114.049,1.844,1.844,Confer beside the barn after the alarm; no known tested escape.,C01_reaction
M033,R08,R08:01;R08:02,112,115.335,115.335,3.002,3.001,Confer beside the barn after the alarm; no known tested escape.,C01_reaction
M034,R03,R03:01,112,129.846,129.846,17.846,17.846,Bring the orchard warning and yard family into the familiar farm home.,C01_reaction
M035,R09,R09:01;R09:02,112,140.013,140.013,28.013,28.013,Bring the orchard warning and yard family into the familiar farm home.,C01_reaction
M036,R05,R05:01;R05:02,112,118.291,118.291,5.033,5.033,"Stay together at western barn-side storage cover, away from the unseen gate attacker.",C01_reaction
M037,R11,R11:01;R11:02,112,117.686,117.686,4.549,4.549,"Stay together at western barn-side storage cover, away from the unseen gate attacker.",C01_reaction
M038,R12,R12:01,112,118.255,118.255,5.004,5.004,"Stay together at western barn-side storage cover, away from the unseen gate attacker.",C01_reaction
M039,R02,R02:01;R02:02,110,192.673,192.673,57.871,57.871,Continue toward the lower road via the existing middle-strip access; the bell gives no safer option.,C01_reaction
M040,R04,R04:01;R04:02,109,135.615,131.60899999999998,18.63,15.826,Continue cautiously toward the familiar west woodland margin; no contact evidence has reached this pair.,C01_reaction
M041,R06,R06:01;R06:02,110,158.377,158.377,38.702,38.702,Follow the existing pasture access toward the lower road and forest approach.,C01_reaction
M042,R13,R13:01;R13:02;R13:03;R13:04,109,187.157,187.157,110.749,110.748,Continue downhill away from the directly witnessed opening killings; the lower road remains untested.,C01_reaction
M043,R19,R19:01;R19:02,111,145.915,145.915,24.441,24.44,"Continue the already-started gate-side escape, avoiding the cottage footprint.",C01_reaction
M044,R14,R14:01;R14:02,112,125.307,125.307,13.307,13.307,Parent draws the child toward the calling home while the smith steps forward; neither knows a safe route.,C01_reaction
M045,R20S,R20:01,112,116.0,116.0,4.0,4.0,Smith tries to interpose himself and draw the precise attacker away from the family.,C01_reaction
M046,R20,R20:02,112,112.0,112.0,0.0,0.0,"Apprentice remains at the covered workfront, frightened by the precise hit.",C01_reaction
M047,R18,R18:01;R18:02,112,125.856,125.856,13.856,13.856,Return from the yard to familiar domestic cover.,C01_reaction
M048,R21,R21:01,112,128.391,128.391,16.391,16.391,Seek the nearby inhabited home from the forge east apron; not a claim of family membership.,C01_reaction
M049,R24,R24:01,111,150.016,148,23.41,22.2,Escort the limping person around the west side of the closest inhabited shelter; no sprint.,C01_reaction
M050,R28,R28:01,111,149.0,148,22.8,22.2,Escort the limping person around the west side of the closest inhabited shelter; no sprint.,C01_reaction
M051,R25,R25:01,112,136.923,124.54,27.415,13.794,"Back toward a nearby home, calling for its occupants to admit the injured.",C01_reaction
M052,R29,R29:01,112,136.971,124.54,27.468,13.794,"Back toward a nearby home, calling for its occupants to admit the injured.",C01_reaction
M053,R32,R32:01;R32:02,112,137.558,124.54,28.113,13.794,"Back toward a nearby home, calling for its occupants to admit the injured.",C01_reaction
M054,R23,R23:01,111,127.643,127.643,8.322,8.322,Continue the already-supported retreat beyond the second wave; retain the slow supported pace.,C01_reaction
M055,R27,R27:01,111,125.638,125.638,7.319,7.319,Continue the already-supported retreat beyond the second wave; retain the slow supported pace.,C01_reaction
M056,R34,R34:01;R34:02,110,110.0,110.0,0.0,0.0,Newly injured helpers try to steady one another and call from the impact fringe.,C01_reaction
M057,R30,R30:01;R30:02;R30:03,110,216.06,197.69999999999976,137.879,114.01,Keep seeking guards on the familiar uphill main road; no shared knowledge of their whereabouts.,C01_reaction
M058,R31,R31:01;R31:02,111,132.115,132.115,21.115,21.115,Seek ordinary household cover on the homeward western lane.,C01_reaction
M059,R33,R33:01;R33:02,111,118.762,118.762,6.21,6.21,The calm neighbour does not respond; the water pair seeks cover on its existing homeward lane.,C01_reaction
